zip,yr_id,name,households
91932,2020,"$75,000 to $99,999",1533
91932,2020,"$100,000 to $124,999",895
91932,2020,"$125,000 to $149,999",535
91932,2020,"$150,000 to $199,999",561
91932,2020,"$200,000 or more",777
91932,2021,"Less than $15,000",828
91932,2021,"$15,000 to $29,999",814
91932,2021,"$30,000 to $44,999",1151
91932,2021,"$45,000 to $59,999",1008
91932,2021,"$60,000 to $74,999",910
91932,2021,"$75,000 to $99,999",1583
91932,2021,"$100,000 to $124,999",1059
91932,2021,"$125,000 to $149,999",608
91932,2021,"$150,000 to $199,999",582
91932,2021,"$200,000 or more",753
91932,2022,"Less than $15,000",616
91932,2022,"$15,000 to $29,999",844
91932,2022,"$30,000 to $44,999",1261
91932,2022,"$45,000 to $59,999",1162
91932,2022,"$60,000 to $74,999",905
91932,2022,"$75,000 to $99,999",1563
91932,2022,"$100,000 to $124,999",1016
91932,2022,"$125,000 to $149,999",582
91932,2022,"$150,000 to $199,999",605
91932,2022,"$200,000 or more",766
91934,2020,"Less than $15,000",112
91934,2020,"$15,000 to $29,999",34
91934,2020,"$30,000 to $44,999",49
91934,2020,"$45,000 to $59,999",34
91934,2020,"$60,000 to $74,999",7
91934,2020,"$75,000 to $99,999",65
91934,2020,"$100,000 to $124,999",38
91934,2020,"$125,000 to $149,999",2
91934,2020,"$150,000 to $199,999",4
91934,2020,"$200,000 or more",12
91934,2021,"Less than $15,000",116
91934,2021,"$15,000 to $29,999",50
91934,2021,"$30,000 to $44,999",22
91934,2021,"$45,000 to $59,999",31
91934,2021,"$60,000 to $74,999",13
91934,2021,"$75,000 to $99,999",37
91934,2021,"$100,000 to $124,999",57
91934,2021,"$125,000 to $149,999",1
91934,2021,"$150,000 to $199,999",17
91934,2021,"$200,000 or more",18
91934,2022,"Less than $15,000",102
91934,2022,"$15,000 to $29,999",53
91934,2022,"$30,000 to $44,999",25
91934,2022,"$45,000 to $59,999",34
91934,2022,"$60,000 to $74,999",13
91934,2022,"$75,000 to $99,999",37
91934,2022,"$100,000 to $124,999",57
91934,2022,"$125,000 to $149,999",1
91934,2022,"$150,000 to $199,999",19
91934,2022,"$200,000 or more",21
91935,2020,"Less than $15,000",140
91935,2020,"$15,000 to $29,999",109
91935,2020,"$30,000 to $44,999",78
91935,2020,"$45,000 to $59,999",109
91935,2020,"$60,000 to $74,999",203
91935,2020,"$75,000 to $99,999",214
91935,2020,"$100,000 to $124,999",453
91935,2020,"$125,000 to $149,999",360
91935,2020,"$150,000 to $199,999",448
91935,2020,"$200,000 or more",782
91935,2021,"Less than $15,000",118
91935,2021,"$15,000 to $29,999",78
91935,2021,"$30,000 to $44,999",112
91935,2021,"$45,000 to $59,999",121
91935,2021,"$60,000 to $74,999",244
91935,2021,"$75,000 to $99,999",228
91935,2021,"$100,000 to $124,999",462
91935,2021,"$125,000 to $149,999",294
91935,2021,"$150,000 to $199,999",487
91935,2021,"$200,000 or more",816
91935,2022,"Less than $15,000",72
91935,2022,"$15,000 to $29,999",76
91935,2022,"$30,000 to $44,999",134
91935,2022,"$45,000 to $59,999",158
91935,2022,"$60,000 to $74,999",239
91935,2022,"$75,000 to $99,999",226
91935,2022,"$100,000 to $124,999",439
91935,2022,"$125,000 to $149,999",287
91935,2022,"$150,000 to $199,999",505
91935,2022,"$200,000 or more",845
91941,2020,"Less than $15,000",812
91941,2020,"$15,000 to $29,999",1042
91941,2020,"$30,000 to $44,999",914
91941,2020,"$45,000 to $59,999",944
91941,2020,"$60,000 to $74,999",987
91941,2020,"$75,000 to $99,999",1803
91941,2020,"$100,000 to $124,999",1159
91941,2020,"$125,000 to $149,999",1208
91941,2020,"$150,000 to $199,999",1505
91941,2020,"$200,000 or more",2383
91941,2021,"Less than $15,000",682
91941,2021,"$15,000 to $29,999",1135
91941,2021,"$30,000 to $44,999",1075
91941,2021,"$45,000 to $59,999",955
91941,2021,"$60,000 to $74,999",1131
91941,2021,"$75,000 to $99,999",1564
91941,2021,"$100,000 to $124,999",1547
91941,2021,"$125,000 to $149,999",996
91941,2021,"$150,000 to $199,999",1542
91941,2021,"$200,000 or more",2393
91941,2022,"Less than $15,000",481
91941,2022,"$15,000 to $29,999",1144
91941,2022,"$30,000 to $44,999",1218
91941,2022,"$45,000 to $59,999",1135
91941,2022,"$60,000 to $74,999",1106
91941,2022,"$75,000 to $99,999",1535
91941,2022,"$100,000 to $124,999",1474
91941,2022,"$125,000 to $149,999",956
91941,2022,"$150,000 to $199,999",1576
91941,2022,"$200,000 or more",2441
91942,2020,"Less than $15,000",1346
91942,2020,"$15,000 to $29,999",1729
91942,2020,"$30,000 to $44,999",1409
91942,2020,"$45,000 to $59,999",1809
91942,2020,"$60,000 to $74,999",1452
91942,2020,"$75,000 to $99,999",2487
91942,2020,"$100,000 to $124,999",1810
91942,2020,"$125,000 to $149,999",1418
91942,2020,"$150,000 to $199,999",1225
91942,2020,"$200,000 or more",1651
91942,2021,"Less than $15,000",1418
91942,2021,"$15,000 to $29,999",1876
91942,2021,"$30,000 to $44,999",1499
91942,2021,"$45,000 to $59,999",1684
91942,2021,"$60,000 to $74,999",1248
91942,2021,"$75,000 to $99,999",2558
91942,2021,"$100,000 to $124,999",2069
91942,2021,"$125,000 to $149,999",1121
91942,2021,"$150,000 to $199,999",1485
91942,2021,"$200,000 or more",1705
91942,2022,"Less than $15,000",1100
91942,2022,"$15,000 to $29,999",1976
91942,2022,"$30,000 to $44,999",1700
91942,2022,"$45,000 to $59,999",1974
91942,2022,"$60,000 to $74,999",1226
91942,2022,"$75,000 to $99,999",2546
91942,2022,"$100,000 to $124,999",2013
91942,2022,"$125,000 to $149,999",1078
91942,2022,"$150,000 to $199,999",1583
91942,2022,"$200,000 or more",1788
91945,2020,"Less than $15,000",675
91945,2020,"$15,000 to $29,999",1121
91945,2020,"$30,000 to $44,999",784
91945,2020,"$45,000 to $59,999",856
91945,2020,"$60,000 to $74,999",991
91945,2020,"$75,000 to $99,999",1340
91945,2020,"$100,000 to $124,999",788
91945,2020,"$125,000 to $149,999",1009
91945,2020,"$150,000 to $199,999",768
91945,2020,"$200,000 or more",349
91945,2021,"Less than $15,000",680
91945,2021,"$15,000 to $29,999",1062
91945,2021,"$30,000 to $44,999",833
91945,2021,"$45,000 to $59,999",776
91945,2021,"$60,000 to $74,999",1018
91945,2021,"$75,000 to $99,999",1375
91945,2021,"$100,000 to $124,999",875
91945,2021,"$125,000 to $149,999",890
91945,2021,"$150,000 to $199,999",878
91945,2021,"$200,000 or more",421
91945,2022,"Less than $15,000",511
91945,2022,"$15,000 to $29,999",1117
91945,2022,"$30,000 to $44,999",917
91945,2022,"$45,000 to $59,999",899
91945,2022,"$60,000 to $74,999",997
91945,2022,"$75,000 to $99,999",1352
91945,2022,"$100,000 to $124,999",856
91945,2022,"$125,000 to $149,999",866
91945,2022,"$150,000 to $199,999",914
91945,2022,"$200,000 or more",420
91948,2020,"Less than $15,000",6
91948,2020,"$15,000 to $29,999",1
91948,2020,"$30,000 to $44,999",18
91948,2020,"$45,000 to $59,999",13
91948,2020,"$60,000 to $74,999",12
91948,2020,"$75,000 to $99,999",27
91948,2020,"$100,000 to $124,999",30
91948,2020,"$125,000 to $149,999",19
91948,2020,"$150,000 to $199,999",19
91948,2020,"$200,000 or more",17
91948,2021,"Less than $15,000",7
91948,2021,"$15,000 to $29,999",1
91948,2021,"$30,000 to $44,999",26
91948,2021,"$45,000 to $59,999",14
91948,2021,"$60,000 to $74,999",12
91948,2021,"$75,000 to $99,999",25
91948,2021,"$100,000 to $124,999",23
91948,2021,"$125,000 to $149,999",10
91948,2021,"$150,000 to $199,999",29
91948,2021,"$200,000 or more",18
91948,2022,"Less than $15,000",5
91948,2022,"$15,000 to $29,999",1
91948,2022,"$30,000 to $44,999",28
91948,2022,"$45,000 to $59,999",16
91948,2022,"$60,000 to $74,999",12
91948,2022,"$75,000 to $99,999",23
91948,2022,"$100,000 to $124,999",21
91948,2022,"$125,000 to $149,999",9
91948,2022,"$150,000 to $199,999",30
91948,2022,"$200,000 or more",18
91950,2020,"Less than $15,000",1970
91950,2020,"$15,000 to $29,999",2831
91950,2020,"$30,000 to $44,999",2528
91950,2020,"$45,000 to $59,999",1917
91950,2020,"$60,000 to $74,999",1655
91950,2020,"$75,000 to $99,999",2636
91950,2020,"$100,000 to $124,999",958
91950,2020,"$125,000 to $149,999",838
91950,2020,"$150,000 to $199,999",529
91950,2020,"$200,000 or more",880
91950,2021,"Less than $15,000",2145
91950,2021,"$15,000 to $29,999",2857
91950,2021,"$30,000 to $44,999",2435
91950,2021,"$45,000 to $59,999",1778
91950,2021,"$60,000 to $74,999",1794
91950,2021,"$75,000 to $99,999",2728
91950,2021,"$100,000 to $124,999",1159
91950,2021,"$125,000 to $149,999",875
91950,2021,"$150,000 to $199,999",440
91950,2021,"$200,000 or more",724
91950,2022,"Less than $15,000",1762
91950,2022,"$15,000 to $29,999",2991
91950,2022,"$30,000 to $44,999",2644
91950,2022,"$45,000 to $59,999",2082
91950,2022,"$60,000 to $74,999",1814
91950,2022,"$75,000 to $99,999",2787
91950,2022,"$100,000 to $124,999",1172
91950,2022,"$125,000 to $149,999",851
91950,2022,"$150,000 to $199,999",456
91950,2022,"$200,000 or more",750
91962,2020,"Less than $15,000",38
91962,2020,"$15,000 to $29,999",11
91962,2020,"$30,000 to $44,999",68
91962,2020,"$45,000 to $59,999",49
91962,2020,"$60,000 to $74,999",35
91962,2020,"$75,000 to $99,999",80
91962,2020,"$100,000 to $124,999",87
91962,2020,"$125,000 to $149,999",66
91962,2020,"$150,000 to $199,999",67
91962,2020,"$200,000 or more",48
91962,2021,"Less than $15,000",45
91962,2021,"$15,000 to $29,999",7
91962,2021,"$30,000 to $44,999",89
91962,2021,"$45,000 to $59,999",55
91962,2021,"$60,000 to $74,999",33
91962,2021,"$75,000 to $99,999",74
91962,2021,"$100,000 to $124,999",76
91962,2021,"$125,000 to $149,999",32
91962,2021,"$150,000 to $199,999",91
91962,2021,"$200,000 or more",59
91962,2022,"Less than $15,000",35
91962,2022,"$15,000 to $29,999",6
91962,2022,"$30,000 to $44,999",93
91962,2022,"$45,000 to $59,999",62
91962,2022,"$60,000 to $74,999",34
91962,2022,"$75,000 to $99,999",73
91962,2022,"$100,000 to $124,999",74
91962,2022,"$125,000 to $149,999",31
91962,2022,"$150,000 to $199,999",93
91962,2022,"$200,000 or more",61
91963,2020,"Less than $15,000",13
91963,2020,"$15,000 to $29,999",16
91963,2020,"$30,000 to $44,999",88
91963,2020,"$45,000 to $59,999",25
91963,2020,"$60,000 to $74,999",18
91963,2020,"$75,000 to $99,999",14
91963,2020,"$100,000 to $124,999",24
91963,2020,"$125,000 to $149,999",34
91963,2020,"$150,000 to $199,999",93
91963,2020,"$200,000 or more",1
91963,2021,"Less than $15,000",24
91963,2021,"$15,000 to $29,999",12
91963,2021,"$30,000 to $44,999",97
91963,2021,"$45,000 to $59,999",22
91963,2021,"$60,000 to $74,999",11
91963,2021,"$75,000 to $99,999",9
91963,2021,"$100,000 to $124,999",35
91963,2021,"$125,000 to $149,999",26
91963,2021,"$150,000 to $199,999",89
91963,2021,"$200,000 or more",4
91963,2022,"Less than $15,000",20
91963,2022,"$15,000 to $29,999",11
91963,2022,"$30,000 to $44,999",100
91963,2022,"$45,000 to $59,999",24
91963,2022,"$60,000 to $74,999",11
91963,2022,"$75,000 to $99,999",9
91963,2022,"$100,000 to $124,999",35
91963,2022,"$125,000 to $149,999",25
91963,2022,"$150,000 to $199,999",90
91963,2022,"$200,000 or more",4
91977,2020,"Less than $15,000",1369
91977,2020,"$15,000 to $29,999",1307
91977,2020,"$30,000 to $44,999",1839
